Test_Set_Index,Actual_V,Predicted_V,Absolute_Error
110,2552.000005841255,1981.307912826538,570.6920930147171
53,2000.0000141263008,1437.0828791856766,562.9171349406242
13,877.0000001192093,1299.461548447609,422.46154832839966
39,1062.9999792277813,1469.999545454979,406.99956622719765
100,1315.999938070774,1696.7368131279945,380.73687505722046
10,715.9999971985817,1068.4615609645844,352.46156376600266
55,1384.0000475049019,1083.343421727419,300.656625777483
24,1175.99996894598,920.7385103702545,255.26145857572556
51,829.9999885261059,592.5939448773861,237.4060436487198
21,1561.9999496936798,1356.67503875494,205.32491093873978
77,4379.0,4174.452213406563,204.5477865934372
64,428.000014051795,611.4041455090046,183.4041314572096
61,814.0000268220901,642.8679466247559,171.1320801973343
7,1281.0000098347664,1120.731787264347,160.2682225704193
46,1491.9999651312828,1623.294015288353,131.29405015707016
